2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl sendParse  FE=> Parse(stmt=null,query="SELECT NULL AS TABLE_CAT, n.nspname AS TABLE_SCHEM, c.relname AS TABLE_NAME,  CASE n.nspname ~ '^pg_' OR n.nspname = 'information_schema'  WHEN true THEN CASE  WHEN n.nspname = 'pg_catalog' OR n.nspname = 'information_schema' THEN CASE c.relkind   WHEN 'r' THEN 'SYSTEM TABLE'   WHEN 'v' THEN 'SYSTEM VIEW'   WHEN 'i' THEN 'SYSTEM INDEX'   ELSE NULL   END  WHEN n.nspname = 'pg_toast' THEN CASE c.relkind   WHEN 'r' THEN 'SYSTEM TOAST TABLE'   WHEN 'i' THEN 'SYSTEM TOAST INDEX'   ELSE NULL   END  ELSE CASE c.relkind   WHEN 'r' THEN 'TEMPORARY TABLE'   WHEN 'p' THEN 'TEMPORARY TABLE'   WHEN 'i' THEN 'TEMPORARY INDEX'   WHEN 'S' THEN 'TEMPORARY SEQUENCE'   WHEN 'v' THEN 'TEMPORARY VIEW'   ELSE NULL   END  END  WHEN false THEN CASE c.relkind  WHEN 'r' THEN 'TABLE'  WHEN 'p' THEN 'PARTITIONED TABLE'  WHEN 'i' THEN 'INDEX'  WHEN 'P' then 'PARTITIONED INDEX'  WHEN 'S' THEN 'SEQUENCE'  WHEN 'v' THEN 'VIEW'  WHEN 'c' THEN 'TYPE'  WHEN 'f' THEN 'FOREIGN TABLE'  WHEN 'm' THEN 'MATERIALIZED VIEW'  ELSE NULL  END  ELSE NULL  END  AS TABLE_TYPE, d.description AS REMARKS,  '' as TYPE_CAT, '' as TYPE_SCHEM, '' as TYPE_NAME, '' AS SELF_REFERENCING_COL_NAME, '' AS REF_GENERATION  FROM pg_catalog.pg_namespace n, pg_catalog.pg_class c  LEFT JOIN pg_catalog.pg_description d ON (c.oid = d.objoid AND d.objsubid = 0  and d.classoid = 'pg_class'::regclass)  WHERE c.relnamespace = n.oid  AND n.nspname LIKE 'public' AND (false  OR ( c.relkind = 'r' AND n.nspname !~ '^pg_' AND n.nspname <> 'information_schema' ) )  ORDER BY TABLE_TYPE,TABLE_SCHEM,TABLE_NAME ",oids={})
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl sendBind  FE=> Bind(stmt=null,portal=null)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl sendDescribePortal  FE=> Describe(portal=null)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl sendExecute  FE=> Execute(portal=null,limit=0)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl sendSync  FE=> Sync
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE ParseComplete [null]
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE BindComplete [unnamed]
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields  <=BE RowDescription(10)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(table_cat,TEXT,65535,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(table_schem,NAME,64,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(table_name,NAME,64,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(table_type,TEXT,65535,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(remarks,TEXT,65535,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(type_cat,TEXT,65535,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(type_schem,TEXT,65535,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(type_name,TEXT,65535,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(self_referencing_col_name,TEXT,65535,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(ref_generation,TEXT,65535,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE DataRow(len=17)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE DataRow(len=19)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE DataRow(len=19)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE DataRow(len=18)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE DataRow(len=15)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE DataRow(len=20)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE DataRow(len=17)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE DataRow(len=21)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE DataRow(len=16)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE DataRow(len=20)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveCommandStatus  <=BE CommandStatus(SELECT 10)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveRFQ  <=BE ReadyForQuery(I)
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 4
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 3
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl execute   simple execute, handler=org.postgresql.jdbc.PgStatement$StatementResultHandler@3b6d844d, maxRows=0, fetchSize=0, flags=17
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl sendParse  FE=> Parse(stmt=null,query="SELECT * FROM (SELECT n.nspname,c.relname,a.attname,a.atttypid,a.attnotnull OR (t.typtype = 'd' AND t.typnotnull) AS attnotnull,a.atttypmod,a.attlen,t.typtypmod,row_number() OVER (PARTITION BY a.attrelid ORDER BY a.attnum) AS attnum, nullif(a.attidentity, '') as attidentity,nullif(a.attgenerated, '') as attgenerated,pg_catalog.pg_get_expr(def.adbin, def.adrelid) AS adsrc,dsc.description,t.typbasetype,t.typtype  FROM pg_catalog.pg_namespace n  JOIN pg_catalog.pg_class c ON (c.relnamespace = n.oid)  JOIN pg_catalog.pg_attribute a ON (a.attrelid=c.oid)  JOIN pg_catalog.pg_type t ON (a.atttypid = t.oid)  LEFT JOIN pg_catalog.pg_attrdef def ON (a.attrelid=def.adrelid AND a.attnum = def.adnum)  LEFT JOIN pg_catalog.pg_description dsc ON (c.oid=dsc.objoid AND a.attnum = dsc.objsubid)  LEFT JOIN pg_catalog.pg_class dc ON (dc.oid=dsc.classoid AND dc.relname='pg_class')  LEFT JOIN pg_catalog.pg_namespace dn ON (dc.relnamespace=dn.oid AND dn.nspname='pg_catalog')  WHERE c.relkind in ('r','p','v','f','m') and a.attnum > 0 AND NOT a.attisdropped  AND n.nspname LIKE 'public' AND c.relname LIKE 'beaker') c WHERE true  ORDER BY nspname,c.relname,attnum ",oids={})
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl sendBind  FE=> Bind(stmt=null,portal=null)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl sendDescribePortal  FE=> Describe(portal=null)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl sendExecute  FE=> Execute(portal=null,limit=0)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl sendSync  FE=> Sync
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE ParseComplete [null]
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE BindComplete [unnamed]
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields  <=BE RowDescription(15)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(nspname,NAME,64,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(relname,NAME,64,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(attname,NAME,64,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(atttypid,OID,4,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(attnotnull,BOOL,1,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(atttypmod,INT4,4,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(attlen,INT2,2,T)
